#	Arena
system "Omnis"
planet "Quarg Wardragon "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Quarg Wardragon "
		threshold 0
fleet "Quarg Wardragon "
	government "Arena"
	personality "heroic"
	variant
		"Quarg Wardragon"
planet "Pincer Beast "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pincer Beast "
		threshold 0
fleet "Pincer Beast "
	government "Arena"
	personality "heroic"
	variant
		"Pincer Beast"
planet "Rano'erek "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Rano'erek "
		threshold 0
fleet "Rano'erek "
	government "Arena"
	personality "heroic"
	variant
		"Rano'erek"
planet "Palavret "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Palavret "
		threshold 0
fleet "Palavret "
	government "Arena"
	personality "heroic"
	variant
		"Palavret"
planet "Tubfalet "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tubfalet "
		threshold 0
fleet "Tubfalet "
	government "Arena"
	personality "heroic"
	variant
		"Tubfalet"
planet "'nra'ret "
	bribe 0
	government "Arena"
	tribute 1
		fleet "'nra'ret "
		threshold 0
fleet "'nra'ret "
	government "Arena"
	personality "heroic"
	variant
		"'nra'ret"
planet "'olofez "
	bribe 0
	government "Arena"
	tribute 1
		fleet "'olofez "
		threshold 0
fleet "'olofez "
	government "Arena"
	personality "heroic"
	variant
		"'olofez"
planet "Kas'ik Tek 7 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kas'ik Tek 7 "
		threshold 0
fleet "Kas'ik Tek 7 "
	government "Arena"
	personality "heroic"
	variant
		"Kas'ik Tek 7"
planet "Rai'alorej "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Rai'alorej "
		threshold 0
fleet "Rai'alorej "
	government "Arena"
	personality "heroic"
	variant
		"Rai'alorej"
planet "Ikatila'ej "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ikatila'ej "
		threshold 0
fleet "Ikatila'ej "
	government "Arena"
	personality "heroic"
	variant
		"Ikatila'ej"
planet "Lor'kas Ik 577 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Lor'kas Ik 577 "
		threshold 0
fleet "Lor'kas Ik 577 "
	government "Arena"
	personality "heroic"
	variant
		"Lor'kas Ik 577"
planet "Ra'gru Ik 618 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ra'gru Ik 618 "
		threshold 0
fleet "Ra'gru Ik 618 "
	government "Arena"
	personality "heroic"
	variant
		"Ra'gru Ik 618"
planet "Kas'lor Ik 582 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kas'lor Ik 582 "
		threshold 0
fleet "Kas'lor Ik 582 "
	government "Arena"
	personality "heroic"
	variant
		"Kas'lor Ik 582"
planet "Lor'nag Ik 590 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Lor'nag Ik 590 "
		threshold 0
fleet "Lor'nag Ik 590 "
	government "Arena"
	personality "heroic"
	variant
		"Lor'nag Ik 590"
planet "Ra'at Ik 621 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ra'at Ik 621 "
		threshold 0
fleet "Ra'at Ik 621 "
	government "Arena"
	personality "heroic"
	variant
		"Ra'at Ik 621"
planet "Kasichara A'awoj "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kasichara A'awoj "
		threshold 0
fleet "Kasichara A'awoj "
	government "Arena"
	personality "heroic"
	variant
		"Kasichara A'awoj"
planet "Korsmanath A'awoj "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Korsmanath A'awoj "
		threshold 0
fleet "Korsmanath A'awoj "
	government "Arena"
	personality "heroic"
	variant
		"Korsmanath A'awoj"
planet "Echo-Galleon "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Echo-Galleon "
		threshold 0
fleet "Echo-Galleon "
	government "Arena"
	personality "heroic"
	variant
		"Echo-Galleon"
planet "Arch-Carrack "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arch-Carrack "
		threshold 0
fleet "Arch-Carrack "
	government "Arena"
	personality "heroic"
	variant
		"Arch-Carrack"
planet "Charm-Shallop "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Charm-Shallop "
		threshold 0
fleet "Charm-Shallop "
	government "Arena"
	personality "heroic"
	variant
		"Charm-Shallop"
planet "Kar Ik Vot 349 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kar Ik Vot 349 "
		threshold 0
fleet "Kar Ik Vot 349 "
	government "Arena"
	personality "heroic"
	variant
		"Kar Ik Vot 349"
planet "Tek Far 71 - Lek "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tek Far 71 - Lek "
		threshold 0
fleet "Tek Far 71 - Lek "
	government "Arena"
	personality "heroic"
	variant
		"Tek Far 71 - Lek"
planet "Tek Far 78 - Osk "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tek Far 78 - Osk "
		threshold 0
fleet "Tek Far 78 - Osk "
	government "Arena"
	personality "heroic"
	variant
		"Tek Far 78 - Osk"
planet "Tek Far 109 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tek Far 109 "
		threshold 0
fleet "Tek Far 109 "
	government "Arena"
	personality "heroic"
	variant
		"Tek Far 109"
planet "Met Par Tek 53 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Met Par Tek 53 "
		threshold 0
fleet "Met Par Tek 53 "
	government "Arena"
	personality "heroic"
	variant
		"Met Par Tek 53"
planet "Far Lek 14 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Far Lek 14 "
		threshold 0
fleet "Far Lek 14 "
	government "Arena"
	personality "heroic"
	variant
		"Far Lek 14"
planet "Far Osk 27 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Far Osk 27 "
		threshold 0
fleet "Far Osk 27 "
	government "Arena"
	personality "heroic"
	variant
		"Far Osk 27"
planet "Model 8 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 8 "
		threshold 0
fleet "Model 8 "
	government "Arena"
	personality "heroic"
	variant
		"Model 8"
planet "Model 16 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 16 "
		threshold 0
fleet "Model 16 "
	government "Arena"
	personality "heroic"
	variant
		"Model 16"
planet "Model 32 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 32 "
		threshold 0
fleet "Model 32 "
	government "Arena"
	personality "heroic"
	variant
		"Model 32"
planet "Model 64 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 64 "
		threshold 0
fleet "Model 64 "
	government "Arena"
	personality "heroic"
	variant
		"Model 64"
planet "Model 128 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 128 "
		threshold 0
fleet "Model 128 "
	government "Arena"
	personality "heroic"
	variant
		"Model 128"
planet "Model 256 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 256 "
		threshold 0
fleet "Model 256 "
	government "Arena"
	personality "heroic"
	variant
		"Model 256"
planet "Model 512 "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Model 512 "
		threshold 0
fleet "Model 512 "
	government "Arena"
	personality "heroic"
	variant
		"Model 512"
planet "Pug Zibruka "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pug Zibruka "
		threshold 0
fleet "Pug Zibruka "
	government "Arena"
	personality "heroic"
	variant
		"Pug Zibruka"
planet "Pug Enfolta "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pug Enfolta "
		threshold 0
fleet "Pug Enfolta "
	government "Arena"
	personality "heroic"
	variant
		"Pug Enfolta"
planet "Pug Maboro "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pug Maboro "
		threshold 0
fleet "Pug Maboro "
	government "Arena"
	personality "heroic"
	variant
		"Pug Maboro"
planet "Pug Arfecta "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pug Arfecta "
		threshold 0
fleet "Pug Arfecta "
	government "Arena"
	personality "heroic"
	variant
		"Pug Arfecta"
planet "Vyrmeid "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Vyrmeid "
		threshold 0
fleet "Vyrmeid "
	government "Arena"
	personality "heroic"
	variant
		"Vyrmeid"
planet "Astral Cetacean "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Astral Cetacean "
		threshold 0
fleet "Astral Cetacean "
	government "Arena"
	personality "heroic"
	variant
		"Astral Cetacean"
planet "Emerald Sword "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Emerald Sword "
		threshold 0
fleet "Emerald Sword "
	government "Arena"
	personality "heroic"
	variant
		"Emerald Sword"
planet "Black Diamond "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Black Diamond "
		threshold 0
fleet "Black Diamond "
	government "Arena"
	personality "heroic"
	variant
		"Black Diamond"
planet "Korath Dredger "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Korath Dredger "
		threshold 0
fleet "Korath Dredger "
	government "Arena"
	personality "heroic"
	variant
		"Korath Dredger"
planet "Korath Raider "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Korath Raider "
		threshold 0
fleet "Korath Raider "
	government "Arena"
	personality "heroic"
	variant
		"Korath Raider"
planet "Korath Chaser "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Korath Chaser "
		threshold 0
fleet "Korath Chaser "
	government "Arena"
	personality "heroic"
	variant
		"Korath Chaser"
planet "Korath World-Ship "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Korath World-Ship "
		threshold 0
fleet "Korath World-Ship "
	government "Arena"
	personality "heroic"
	variant
		"Korath World-Ship"
planet "Kaiken "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kaiken "
		threshold 0
fleet "Kaiken "
	government "Arena"
	personality "heroic"
	variant
		"Kaiken"
planet "Sasumata "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Sasumata "
		threshold 0
fleet "Sasumata "
	government "Arena"
	personality "heroic"
	variant
		"Sasumata"
planet "Tanto "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tanto "
		threshold 0
fleet "Tanto "
	government "Arena"
	personality "heroic"
	variant
		"Tanto"
planet "Ararebo "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ararebo "
		threshold 0
fleet "Ararebo "
	government "Arena"
	personality "heroic"
	variant
		"Ararebo"
planet "Tekkan "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tekkan "
		threshold 0
fleet "Tekkan "
	government "Arena"
	personality "heroic"
	variant
		"Tekkan"
planet "Kunai "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kunai "
		threshold 0
fleet "Kunai "
	government "Arena"
	personality "heroic"
	variant
		"Kunai"
planet "Kama "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kama "
		threshold 0
fleet "Kama "
	government "Arena"
	personality "heroic"
	variant
		"Kama"
planet "Chigiriki "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Chigiriki "
		threshold 0
fleet "Chigiriki "
	government "Arena"
	personality "heroic"
	variant
		"Chigiriki"
planet "vyu-Ira "
	bribe 0
	government "Arena"
	tribute 1
		fleet "vyu-Ira "
		threshold 0
fleet "vyu-Ira "
	government "Arena"
	personality "heroic"
	variant
		"vyu-Ira"
planet "Arach Courier "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arach Courier "
		threshold 0
fleet "Arach Courier "
	government "Arena"
	personality "heroic"
	variant
		"Arach Courier"
planet "Arach Freighter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arach Freighter "
		threshold 0
fleet "Arach Freighter "
	government "Arena"
	personality "heroic"
	variant
		"Arach Freighter"
planet "Arach Hulk "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arach Hulk "
		threshold 0
fleet "Arach Hulk "
	government "Arena"
	personality "heroic"
	variant
		"Arach Hulk"
planet "Arach Spindle "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arach Spindle "
		threshold 0
fleet "Arach Spindle "
	government "Arena"
	personality "heroic"
	variant
		"Arach Spindle"
planet "Arach Transport "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arach Transport "
		threshold 0
fleet "Arach Transport "
	government "Arena"
	personality "heroic"
	variant
		"Arach Transport"
planet "Heliarch Breacher "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Breacher "
		threshold 0
fleet "Heliarch Breacher "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Breacher"
planet "Heliarch Hunter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Hunter "
		threshold 0
fleet "Heliarch Hunter "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Hunter"
planet "Heliarch Interdictor "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Interdictor "
		threshold 0
fleet "Heliarch Interdictor "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Interdictor"
planet "Heliarch Judicator "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Judicator "
		threshold 0
fleet "Heliarch Judicator "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Judicator"
planet "Heliarch Neutralizer "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Neutralizer "
		threshold 0
fleet "Heliarch Neutralizer "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Neutralizer"
planet "Heliarch Punisher "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Punisher "
		threshold 0
fleet "Heliarch Punisher "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Punisher"
planet "Heliarch Pursuer "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Pursuer "
		threshold 0
fleet "Heliarch Pursuer "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Pursuer"
planet "Heliarch Rover "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Rover "
		threshold 0
fleet "Heliarch Rover "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Rover"
planet "Heliarch Stalker "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Heliarch Stalker "
		threshold 0
fleet "Heliarch Stalker "
	government "Arena"
	personality "heroic"
	variant
		"Heliarch Stalker"
planet "Kimek Briar "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kimek Briar "
		threshold 0
fleet "Kimek Briar "
	government "Arena"
	personality "heroic"
	variant
		"Kimek Briar"
planet "Kimek Spire "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kimek Spire "
		threshold 0
fleet "Kimek Spire "
	government "Arena"
	personality "heroic"
	variant
		"Kimek Spire"
planet "Kimek Thistle "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kimek Thistle "
		threshold 0
fleet "Kimek Thistle "
	government "Arena"
	personality "heroic"
	variant
		"Kimek Thistle"
planet "Kimek Thorn "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kimek Thorn "
		threshold 0
fleet "Kimek Thorn "
	government "Arena"
	personality "heroic"
	variant
		"Kimek Thorn"
planet "Saryd Runabout "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Saryd Runabout "
		threshold 0
fleet "Saryd Runabout "
	government "Arena"
	personality "heroic"
	variant
		"Saryd Runabout"
planet "Saryd Sojourner "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Saryd Sojourner "
		threshold 0
fleet "Saryd Sojourner "
	government "Arena"
	personality "heroic"
	variant
		"Saryd Sojourner"
planet "Saryd Traveler "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Saryd Traveler "
		threshold 0
fleet "Saryd Traveler "
	government "Arena"
	personality "heroic"
	variant
		"Saryd Traveler"
planet "Saryd Visitor "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Saryd Visitor "
		threshold 0
fleet "Saryd Visitor "
	government "Arena"
	personality "heroic"
	variant
		"Saryd Visitor"
planet "Jje "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Jje "
		threshold 0
fleet "Jje "
	government "Arena"
	personality "heroic"
	variant
		"Jje"
planet "Ayym "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ayym "
		threshold 0
fleet "Ayym "
	government "Arena"
	personality "heroic"
	variant
		"Ayym"
planet "Maeri'het "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Maeri'het "
		threshold 0
fleet "Maeri'het "
	government "Arena"
	personality "heroic"
	variant
		"Maeri'het"
planet "Telis'het "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Telis'het "
		threshold 0
fleet "Telis'het "
	government "Arena"
	personality "heroic"
	variant
		"Telis'het"
planet "Vareti'het "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Vareti'het "
		threshold 0
fleet "Vareti'het "
	government "Arena"
	personality "heroic"
	variant
		"Vareti'het"
planet "Selii'mar "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Selii'mar "
		threshold 0
fleet "Selii'mar "
	government "Arena"
	personality "heroic"
	variant
		"Selii'mar"
planet "Faes'mar "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Faes'mar "
		threshold 0
fleet "Faes'mar "
	government "Arena"
	personality "heroic"
	variant
		"Faes'mar"
planet "Fetri'sei "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Fetri'sei "
		threshold 0
fleet "Fetri'sei "
	government "Arena"
	personality "heroic"
	variant
		"Fetri'sei"
planet "Earth Shaper "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Earth Shaper "
		threshold 0
fleet "Earth Shaper "
	government "Arena"
	personality "heroic"
	variant
		"Earth Shaper"
planet "Flycatcher "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Flycatcher "
		threshold 0
fleet "Flycatcher "
	government "Arena"
	personality "heroic"
	variant
		"Flycatcher"
planet "Summer Leaf "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Summer Leaf "
		threshold 0
fleet "Summer Leaf "
	government "Arena"
	personality "heroic"
	variant
		"Summer Leaf"
planet "Autumn Leaf "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Autumn Leaf "
		threshold 0
fleet "Autumn Leaf "
	government "Arena"
	personality "heroic"
	variant
		"Autumn Leaf"
planet "Strong Wind "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Strong Wind "
		threshold 0
fleet "Strong Wind "
	government "Arena"
	personality "heroic"
	variant
		"Strong Wind"
planet "Tempest "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Tempest "
		threshold 0
fleet "Tempest "
	government "Arena"
	personality "heroic"
	variant
		"Tempest"
planet "Derecho "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Derecho "
		threshold 0
fleet "Derecho "
	government "Arena"
	personality "heroic"
	variant
		"Derecho"
planet "Hurricane "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hurricane "
		threshold 0
fleet "Hurricane "
	government "Arena"
	personality "heroic"
	variant
		"Hurricane"
planet "Cool Breeze "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Cool Breeze "
		threshold 0
fleet "Cool Breeze "
	government "Arena"
	personality "heroic"
	variant
		"Cool Breeze"
planet "Winter Gale "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Winter Gale "
		threshold 0
fleet "Winter Gale "
	government "Arena"
	personality "heroic"
	variant
		"Winter Gale"
planet "Deep River "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Deep River "
		threshold 0
fleet "Deep River "
	government "Arena"
	personality "heroic"
	variant
		"Deep River"
planet "Deep River Transport "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Deep River Transport "
		threshold 0
fleet "Deep River Transport "
	government "Arena"
	personality "heroic"
	variant
		"Deep River Transport"
planet "Riptide "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Riptide "
		threshold 0
fleet "Riptide "
	government "Arena"
	personality "heroic"
	variant
		"Riptide"
planet "Geodesic Geocoris "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Geodesic Geocoris "
		threshold 0
fleet "Geodesic Geocoris "
	government "Arena"
	personality "heroic"
	variant
		"Geodesic Geocoris"
planet "Aphid "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Aphid "
		threshold 0
fleet "Aphid "
	government "Arena"
	personality "heroic"
	variant
		"Aphid"
planet "Centipede "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Centipede "
		threshold 0
fleet "Centipede "
	government "Arena"
	personality "heroic"
	variant
		"Centipede"
planet "Cicada "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Cicada "
		threshold 0
fleet "Cicada "
	government "Arena"
	personality "heroic"
	variant
		"Cicada"
planet "Flea "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Flea "
		threshold 0
fleet "Flea "
	government "Arena"
	personality "heroic"
	variant
		"Flea"
planet "Geocoris "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Geocoris "
		threshold 0
fleet "Geocoris "
	government "Arena"
	personality "heroic"
	variant
		"Geocoris"
planet "Grasshopper "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Grasshopper "
		threshold 0
fleet "Grasshopper "
	government "Arena"
	personality "heroic"
	variant
		"Grasshopper"
planet "Lightning Bug "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Lightning Bug "
		threshold 0
fleet "Lightning Bug "
	government "Arena"
	personality "heroic"
	variant
		"Lightning Bug"
planet "Ladybug "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ladybug "
		threshold 0
fleet "Ladybug "
	government "Arena"
	personality "heroic"
	variant
		"Ladybug"
planet "Pond Strider "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Pond Strider "
		threshold 0
fleet "Pond Strider "
	government "Arena"
	personality "heroic"
	variant
		"Pond Strider"
planet "Sea Scorpion "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Sea Scorpion "
		threshold 0
fleet "Sea Scorpion "
	government "Arena"
	personality "heroic"
	variant
		"Sea Scorpion"
planet "Scarab "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Scarab "
		threshold 0
fleet "Scarab "
	government "Arena"
	personality "heroic"
	variant
		"Scarab"
planet "Shield Beetle "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Shield Beetle "
		threshold 0
fleet "Shield Beetle "
	government "Arena"
	personality "heroic"
	variant
		"Shield Beetle"
planet "Solifuge "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Solifuge "
		threshold 0
fleet "Solifuge "
	government "Arena"
	personality "heroic"
	variant
		"Solifuge"
planet "Violin Spider "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Violin Spider "
		threshold 0
fleet "Violin Spider "
	government "Arena"
	personality "heroic"
	variant
		"Violin Spider"
planet "Water Bug "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Water Bug "
		threshold 0
fleet "Water Bug "
	government "Arena"
	personality "heroic"
	variant
		"Water Bug"
planet "Subsidurial "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Subsidurial "
		threshold 0
fleet "Subsidurial "
	government "Arena"
	personality "heroic"
	variant
		"Subsidurial"
planet "Void Sprite "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Void Sprite "
		threshold 0
fleet "Void Sprite "
	government "Arena"
	personality "heroic"
	variant
		"Void Sprite"
planet "Ember Waste Node "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Ember Waste Node "
		threshold 0
fleet "Ember Waste Node "
	government "Arena"
	personality "heroic"
	variant
		"Ember Waste Node"
planet "Embershade "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Embershade "
		threshold 0
fleet "Embershade "
	government "Arena"
	personality "heroic"
	variant
		"Embershade"
planet "Embersylph "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Embersylph "
		threshold 0
fleet "Embersylph "
	government "Arena"
	personality "heroic"
	variant
		"Embersylph"
planet "Archon "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Archon "
		threshold 0
fleet "Archon "
	government "Arena"
	personality "heroic"
	variant
		"Archon"
planet "Marauder Arrow "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Arrow "
		threshold 0
fleet "Marauder Arrow "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Arrow"
planet "Marauder Bounder "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Bounder "
		threshold 0
fleet "Marauder Bounder "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Bounder"
planet "Marauder Falcon "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Falcon "
		threshold 0
fleet "Marauder Falcon "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Falcon"
planet "Marauder Firebird "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Firebird "
		threshold 0
fleet "Marauder Firebird "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Firebird"
planet "Marauder Leviathan "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Leviathan "
		threshold 0
fleet "Marauder Leviathan "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Leviathan"
planet "Marauder Manta "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Manta "
		threshold 0
fleet "Marauder Manta "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Manta"
planet "Marauder Quicksilver "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Quicksilver "
		threshold 0
fleet "Marauder Quicksilver "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Quicksilver"
planet "Marauder Raven "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Raven "
		threshold 0
fleet "Marauder Raven "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Raven"
planet "Marauder Splinter "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Marauder Splinter "
		threshold 0
fleet "Marauder Splinter "
	government "Arena"
	personality "heroic"
	variant
		"Marauder Splinter"
planet "Hallucination "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Hallucination "
		threshold 0
fleet "Hallucination "
	government "Arena"
	personality "heroic"
	variant
		"Hallucination"
planet "Asteroid "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Asteroid "
		threshold 0
fleet "Asteroid "
	government "Arena"
	personality "heroic"
	variant
		"Asteroid"
planet "Science Drone "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Science Drone "
		threshold 0
fleet "Science Drone "
	government "Arena"
	personality "heroic"
	variant
		"Science Drone"
planet "Unknown Ship Type "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Unknown Ship Type "
		threshold 0
fleet "Unknown Ship Type "
	government "Arena"
	personality "heroic"
	variant
		"Unknown Ship Type"
planet "Kestrel "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Kestrel "
		threshold 0
fleet "Kestrel "
	government "Arena"
	personality "heroic"
	variant
		"Kestrel"
planet "Aerie "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Aerie "
		threshold 0
fleet "Aerie "
	government "Arena"
	personality "heroic"
	variant
		"Aerie"
planet "Argosy "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Argosy "
		threshold 0
fleet "Argosy "
	government "Arena"
	personality "heroic"
	variant
		"Argosy"
planet "Arrow "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Arrow "
		threshold 0
fleet "Arrow "
	government "Arena"
	personality "heroic"
	variant
		"Arrow"
planet "Auxiliary "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Auxiliary "
		threshold 0
fleet "Auxiliary "
	government "Arena"
	personality "heroic"
	variant
		"Auxiliary"
planet "Bactrian "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Bactrian "
		threshold 0
fleet "Bactrian "
	government "Arena"
	personality "heroic"
	variant
		"Bactrian"
planet "Barb "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Barb "
		threshold 0
fleet "Barb "
	government "Arena"
	personality "heroic"
	variant
		"Barb"
planet "Bastion "
	bribe 0
	government "Arena"
	tribute 1
		fleet "Bastion "
		threshold 0
fleet "Bastion "
	government "Arena"
	personality "heroic"
	variant
		"Bastion"
planet "Behemoth "
